n,a_cos,b_sin,rel_to_n1
1,-0.03269578861665459,-0.05071049829679724,1
2,0.02103135071121991,-0.04334716881047879,0.7985102551649861
3,0.03211632842145228,-0.000598507001017656,0.5323737608919803
4,0.004588296650866636,0.01677434815796112,0.2882230205495296
5,-0.01041991225728546,-1.352444914303302e-005,0.1726950067275856
6,0.001889573910919794,-0.0109144094765962,0.183581313777011
7,0.0106416743794379,-2.271764630630495e-005,0.1763706471589119
8,0.001028451851343009,0.008051807131656099,0.13453114452048
9,-0.00635210140250864,-4.204632609465561e-005,0.1052791304742447
10,0.0006668738684964109,-0.006474002439676572,0.1078649000318665
11,0.006394738180654148,-2.933599402436237e-005,0.105984581844626
12,0.0004636277748591707,0.005323480835158838,0.08856290714161431
13,-0.00453665165821392,-2.128382877488227e-005,0.07518921766570524
14,0.0003390737599348861,-0.004592500787813997,0.07632118146695992
15,0.004558240934286947,-1.578339104270772e-005,0.07554665388005397
